time_stamp,node,light,sound,temp,smoke
22:50:41,1,,,,
22:50:42,1,1003,493,538,
22:50:43,1,1003,503,538,
22:50:44,1,,,,
22:50:45,1,,,,
22:50:46,1,,,,
22:50:47,1,,,,
22:50:48,1,,,,
22:50:49,1,1003,506,539,
22:50:50,1,1003,469,539,
22:50:51,1,,,,
22:50:52,1,,,,
22:50:53,1,,,,
22:50:54,1,1003,494,539,
22:50:55,1,,,,
22:50:56,1,,,,
22:50:57,1,,,,
22:50:58,1,,,,
22:50:59,1,1003,499,538,
22:51:00,1,1003,494,538,
22:51:01,1,,,,
22:51:02,1,1003,495,538,
22:51:03,1,1003,470,538,
22:51:04,1,,,,
22:51:05,1,1003,491,538,
22:51:06,1,1003,485,538,
22:51:07,1,1003,494,538,
22:51:08,1,1003,489,538,
22:51:09,1,1003,487,539,
22:51:10,1,,,,
22:51:11,1,1002,478,538,
22:51:12,1,1003,492,539,
22:51:13,1,1002,497,538,
22:51:14,1,1003,482,538,
22:51:15,1,,,,
22:51:16,1,1003,492,538,
22:51:17,1,1003,476,538,
22:51:18,1,1003,499,538,
22:51:19,1,1003,487,538,
22:51:20,1,1003,496,538,
22:51:21,1,1003,527,538,
22:51:22,1,,,,
22:51:23,1,,,,
22:51:24,1,,,,
22:51:25,1,,,,
22:51:26,1,1003,642,539,
22:51:27,1,,,,
22:51:28,1,1003,498,538,
22:51:29,1,1003,494,538,
22:51:30,1,1003,500,538,
22:51:31,1,1003,500,538,
22:51:32,1,1002,496,538,
22:51:33,1,1003,471,538,
22:51:34,1,1003,490,538,
22:51:35,1,1003,496,538,
22:51:36,1,1003,498,538,
22:51:37,1,1003,501,538,
22:51:38,1,,,,
22:51:39,1,,,,
22:51:40,1,,,,
22:51:41,1,,,,
22:51:42,1,,,,
22:51:43,1,1003,496,538,502
22:51:44,1,,,,
22:51:45,1,1003,492,538,352
22:51:46,1,,,,
22:51:47,1,,,,
22:51:48,1,,,,
22:51:49,1,,,,
22:51:50,1,,,,
22:51:51,1,1003,501,538,505
22:51:52,1,1003,488,538,521
22:51:53,1,1003,496,538,519
22:51:54,1,1003,485,538,499
22:51:55,1,1003,496,538,461
22:51:56,1,,,,
22:51:57,1,,,,
22:51:58,1,1004,507,540,572
22:51:59,1,1005,493,547,404
22:52:00,1,1006,516,551,308
